Offense Category,Total Offenders,10 and Under,11−15,16-20,21-25,26-30,31-35,36−40,41−45,46−50,51−55,56−60,61−65,66 and Over,Unknown Age
Total,9873871,34134,468142,1021838,1174529,1249461,1236536,1005725,733718,510528,385262,294124,144525,124833,1490516
Crimes Against Persons,3169852,18334,227633,330434,393881,429292,422571,344410,256801,175136,138707,107595,64356,63305,197397
Assault Offenses,2918676,14161,204861,294901,365049,401798,394803,320791,239318,162826,128774,99563,59442,57139,175250
Homicide Offenses,19274,26,541,3527,3197,2727,2124,1528,1172,809,608,412,260,386,1957
Human Trafficking Offenses,2428,11,64,212,315,339,347,265,194,136,106,82,36,33,288
Kidnapping/Abduction,43012,28,611,3656,6581,7205,6939,5489,3849,2268,1623,1067,550,410,2736
Sex Offenses,186462,4108,21556,28138,18739,17223,18358,16337,12268,9097,7596,6471,4068,5337,17166
Crimes Against Property,4524653,13897,164320,398351,463093,487180,484404,390235,276359,214415,157289,125816,48328,45244,1255722
Arson,21249,441,2184,1558,1547,2135,2373,2117,1713,1167,912,716,379,358,3649
Bribery,656,0,4,41,99,102,115,83,72,36,31,12,22,8,31
Burglary/Breaking & Entering,407560,1423,14679,30272,38298,43423,43328,35229,23965,17427,13983,10222,3202,2904,129205
Counterfeiting/Forgery,109595,80,484,8608,11556,12882,13584,12069,9023,6408,4443,3886,1704,1574,23294
Destruction/Damage/Vandalism,859080,6302,53873,89759,98711,98850,93250,70011,48039,37742,25449,19682,8324,8600,200488
Embezzlement,32730,8,154,4232,4942,4529,4690,3848,3001,2068,1554,1077,499,371,1757
Extortion/Blackmail,9451,19,232,704,809,641,584,468,374,330,238,253,71,96,4632
Fraud Offenses,428944,528,4230,23159,39927,46762,47992,41044,30406,24058,17540,15605,5514,5822,126357
Larceny/Theft Offenses,1978985,4305,57433,153031,187931,203274,207690,170700,123861,100877,73659,62625,24822,22404,586373
Motor Vehicle Theft,346525,535,14940,32544,30969,33919,34188,26978,17876,13018,11450,6419,1847,1896,119946
Robbery,195201,205,10019,36397,31717,20049,15527,10635,6175,4495,3184,2410,717,506,53165
Stolen Property Offenses,134677,51,6088,18046,16587,20614,21083,17053,11854,6789,4846,2909,1227,705,6825
Crimes Against Society,2179366,1903,76189,293053,317555,332989,329561,271080,200558,120977,89266,60713,31841,16284,37397
Animal Cruelty,18864,92,327,1064,2109,2295,2326,2044,1643,1236,1116,1001,763,1124,1724
Drug/Narcotic Offenses,1755788,371,49988,222676,246852,272181,277834,232465,172927,103234,76688,51442,26355,11136,11639
Gambling Offenses,3215,1,14,227,262,370,356,361,338,315,282,209,155,168,157
Pornography/Obscene Material,32925,366,8823,5134,3078,2412,2359,1946,1469,1106,826,846,400,571,3589
Prostitution Offenses,14945,6,73,1110,2560,2448,2196,1660,1353,991,858,711,360,361,258
Weapon Law Violations,353629,1067,16964,62842,62694,53283,44490,32604,22828,14095,9496,6504,3808,2924,20030
