Offense Category,Total Offenders,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Unknown Race
Total,9873871,5015610,3143747,131512,95463,27292,1460247
Crimes Against Persons,3169852,1692781,1190472,48078,37645,10476,190400
Assault Offenses,2918676,1545593,1119829,44453,33842,9744,165215
Homicide Offenses,19274,7371,9429,251,177,42,2004
Human Trafficking Offenses,2428,1064,946,16,89,6,307
Kidnapping/Abduction,43012,24631,14653,663,599,141,2325
Sex Offenses,186462,114122,45615,2695,2938,543,20549
Crimes Against Property,4524653,1946464,1290753,47687,37025,11699,1191025
Arson,21249,11651,4772,345,250,67,4164
Bribery,656,460,125,15,11,1,44
Burglary/Breaking & Entering,407560,176859,97181,4141,2489,841,126049
Counterfeiting/Forgery,109595,53958,27873,992,1307,239,25226
Destruction/Damage/Vandalism,859080,376085,258006,10541,6345,1676,206427
Embezzlement,32730,17580,11601,283,461,63,2742
Extortion/Blackmail,9451,3214,1063,37,203,22,4912
Fraud Offenses,428944,179512,100298,3554,5258,1023,139299
Larceny/Theft Offenses,1978985,862571,553327,20141,15374,4834,522738
Motor Vehicle Theft,346525,133304,81940,4137,2128,1196,123820
Robbery,195201,55434,109996,1409,1362,990,26010
Stolen Property Offenses,134677,75836,44571,2092,1837,747,9594
Crimes Against Society,2179366,1376365,662522,35747,20793,5117,78822
Animal Cruelty,18864,11664,4634,214,211,59,2082
Drug/Narcotic Offenses,1755788,1183306,472572,31599,15148,4037,49126
Gambling Offenses,3215,1589,649,19,507,124,327
Pornography/Obscene Material,32925,20967,6053,240,429,57,5179
Prostitution Offenses,14945,7485,5637,96,1236,36,455
Weapon Law Violations,353629,151354,172977,3579,3262,804,21653
