State,Number of Participating Agencies,Population Covered,Total Offenses,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism,Embezzlement,Extortion/Blackmail,Fraud Offenses,Larceny/Theft Offenses,Motor Vehicle Theft,Robbery,Stolen Property Offenses
Total,13293,256187698,7849624,30166,652,672139,147573,1497908,32481,20298,843491,3618452,721157,149862,115445
Alabama,404,4519862,130599,666,13,12056,3758,27607,253,227,13141,60400,8757,1513,2208
Alaska,32,444412,8399,64,0,760,171,2404,22,37,721,3452,637,99,32
Arizona,89,4571670,127557,480,9,10138,1500,25121,398,500,17039,61878,7667,1387,1440
Arkansas,294,2986257,119718,490,3,13732,4301,25089,60,92,9954,54872,7436,1208,2481
California,559,20450698,543624,3360,14,52995,9472,90274,1988,1084,61519,227300,65460,14283,15875
Colorado,234,5825547,284165,1385,59,22374,3245,59165,305,1067,23231,119556,45599,4320,3859
Connecticut,107,3626205,88162,192,7,4645,1912,16319,178,264,11867,43041,7009,1630,1098
Delaware,63,1018396,38855,111,0,2132,550,8941,115,104,7265,16794,1658,584,601
District of Columbia,2,671803,45536,6,5,1376,292,13584,4,69,4485,19002,3907,2404,402
Florida,73,7025392,136827,246,2,8632,2646,20675,746,256,14820,77091,8361,2780,572
Georgia,454,9959008,264972,712,8,19996,7435,44247,560,533,38688,124775,19699,4217,4102
Hawaii,3,1233842,38681,359,2,3145,453,2079,45,159,4109,22110,4621,887,712
Idaho,111,1938529,32343,150,5,3003,723,6833,233,159,5485,13436,1734,160,422
Illinois,520,10010597,313085,821,6,20294,4473,81323,153,441,39292,122857,31339,11258,828
Indiana,209,5603871,125037,636,18,12344,2132,7084,919,248,18373,67178,11678,2777,1650
Iowa,228,2968878,64022,254,28,6355,2179,13251,239,209,6842,29204,4285,621,555
Kansas,327,2675833,97016,453,2,6578,2719,25320,615,486,12192,40300,6204,797,1350
Kentucky,431,4509571,100000,348,49,10519,2307,18024,1384,128,6235,46499,9486,1654,3367
Louisiana,148,3428406,126599,293,11,16487,2723,22464,1170,340,6684,63632,8128,1577,3090
Maine,131,1384006,26621,160,5,1583,479,5758,40,69,2725,14562,980,141,119
Maryland,95,4898180,141602,323,3,9647,2376,28369,458,307,19821,61563,11711,6248,776
Massachusetts,384,6947897,137461,373,22,9989,3357,29056,458,719,21808,60288,6986,2647,1758
Michigan,603,9616858,252945,1305,18,20657,3068,47126,2096,919,36810,105229,26155,3667,5895
Minnesota,408,5711489,177765,628,7,12166,3866,31479,313,374,19258,84856,16534,3266,5018
Mississippi,152,1791767,46673,175,5,5681,1010,8624,860,94,4538,21510,2898,433,845
Missouri,498,6077481,217981,1034,17,17381,4574,44969,685,198,14204,97588,30218,3397,3716
Montana,110,1121153,33707,144,4,2180,742,7534,87,8,2042,17725,2509,266,466
Nebraska,261,1459853,37642,207,10,2220,1143,10306,138,278,4709,15986,2021,240,384
Nevada,55,3162409,121232,424,16,13886,1738,22881,1402,300,10883,48477,15654,2748,2823
New Hampshire,213,1378928,28486,123,5,960,719,7485,97,230,4993,12182,902,221,569
New Jersey,309,5630105,123401,246,5,8111,2893,16979,359,681,19008,61952,9341,2573,1253
New Mexico,95,1813146,99041,323,33,11159,951,24230,765,227,8287,38343,10859,2245,1619
New York,149,4587827,117908,501,8,7875,1764,31264,39,244,7224,58611,6324,2392,1662
North Carolina,407,10235931,345497,1450,15,36551,5147,61472,2479,1307,44794,160189,20366,5774,5953
North Dakota,111,779261,24848,97,7,2600,653,4396,103,129,2920,11109,1994,217,623
Ohio,637,10916774,305310,1091,14,27901,4137,66437,157,748,22944,144278,26339,6146,5118
Oklahoma,461,4019800,144894,775,6,19172,3418,22075,1879,495,16549,63269,12736,1649,2871
Oregon,212,4079739,186210,1229,10,14587,2923,37726,239,264,15236,86671,22816,2865,1644
Pennsylvania,132,5229066,161382,800,4,9984,2018,30924,980,459,22722,71539,14367,6237,1348
Rhode Island,48,1092311,25159,85,3,1448,547,6011,129,129,3357,11083,1717,268,382
South Carolina,462,5271145,190908,632,7,17643,4269,33835,892,407,23020,91615,12726,2133,3729
South Dakota,107,830169,23632,67,3,2021,528,4586,221,32,1762,11746,2114,230,322
Tennessee,399,7047629,253273,878,19,21927,5608,45783,1972,890,26867,116528,25562,4755,2484
Texas,1063,29643845,999574,2921,101,94689,23210,164470,3093,1127,88929,496659,98026,21219,5130
Utah,135,3325856,105136,273,11,6331,1537,22839,73,493,13479,50492,6631,977,2000
Vermont,86,647064,15882,40,0,1004,310,2681,59,22,1436,9408,595,88,239
Virginia,410,8682813,252769,637,30,10886,4573,49759,1897,1344,40309,124772,13673,3353,1536
Washington,246,7730372,402332,1526,17,42473,3793,85757,260,845,23032,179545,49693,6785,8606
West Virginia,214,1541815,27946,176,1,2894,651,5054,112,31,2299,14630,1383,168,547
Wisconsin,362,5610301,126511,461,2,8163,2365,25753,731,443,14572,57313,13033,2326,1349
Wyoming,50,453931,10699,36,3,809,215,2486,21,82,1012,5357,629,32,17
