Time of Day,Total Incidents,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses
Total,2988454,2737786,17189,2234,39098,192147
Total A.M. Hours,1132394,1025366,7279,1021,15342,83386
Midnight–12:59 a.m.,236073,205981,1637,359,2899,25197
1 a.m.–1:59 a.m.,103834,96320,931,41,1512,5030
2 a.m.–2:59 a.m.,86737,80049,822,32,1282,4552
3 a.m.–3:59 a.m.,64945,59620,591,42,1033,3659
4 a.m.–4:59 a.m.,49015,44946,462,27,829,2751
5 a.m.–5:59 a.m.,42431,39002,361,23,681,2364
6 a.m.–6:59 a.m.,44740,41223,345,24,709,2439
7 a.m.–7:59 a.m.,64495,59657,334,26,864,3614
8 a.m.–8:59 a.m.,97916,87432,394,120,1317,8653
9 a.m.–9:59 a.m.,102572,93105,407,99,1299,7662
 10 a.m.–10:59 a.m.,115806,105014,485,117,1403,8787
 11 a.m.–11:59 a.m.,123830,113017,510,111,1514,8678
Total P.M. Hours,1826793,1688960,9722,1178,23363,103570
Noon–12:59 p.m.,150085,134173,574,160,1802,13376
1 p.m.–1:59 p.m.,132060,120217,566,125,1531,9621
2 p.m.–2:59 p.m.,141487,129147,642,130,1629,9939
3 p.m.–3:59 p.m.,155974,142870,643,108,1950,10403
4 p.m.–4:59 p.m.,156115,144136,688,113,1945,9233
5 p.m.–5:59 p.m.,157724,146510,737,101,2095,8281
6 p.m.–6:59 p.m.,161399,150152,841,101,2368,7937
7 p.m.–7:59 p.m.,161129,151139,919,78,1954,7039
8 p.m.–8:59 p.m.,164597,153946,1021,80,2024,7526
9 p.m.–9:59 p.m.,159596,149457,1073,81,2063,6922
 10 p.m.–10:59 p.m.,151877,141831,989,59,2086,6912
 11 p.m.–11:59 p.m.,134750,125382,1029,42,1916,6381
Unknown Time of Day,29267,23460,188,35,393,5191
