Offense Category,Incidents,Offenses,Victims,Known Offenders
Total,11195659,13166782,13834692,9873871
Crimes Against Persons,2988454,3456189,3456190,3169852
Assault Offenses,2737786,3187575,3187575,2918676
Homicide Offenses,17189,18785,18786,19274
Human Trafficking Offenses,2234,2691,2691,2428
Kidnapping/Abduction,39098,43083,43083,43012
Sex Offenses,192147,204055,204055,186462
Crimes Against Property,7849624,7849624,8517495,4524653
Arson,30166,30166,36637,21249
Bribery,652,652,695,656
Burglary/Breaking & Entering,672139,672139,781093,407560
Counterfeiting/Forgery,147573,147573,161913,109595
Destruction/Damage/Vandalism,1497908,1497908,1627386,859080
Embezzlement,32481,32481,34284,32730
Extortion/Blackmail,20298,20298,20897,9451
Fraud Offenses,843491,843491,915256,428944
Larceny/Theft Offenses,3618452,3618452,3853150,1978985
Motor Vehicle Theft,721157,721157,753345,346525
Robbery,149862,149862,197705,195201
Stolen Property Offenses,115445,115445,135134,134677
Crimes Against Society,1860969,1860969,1861007,2179366
Animal Cruelty,20512,20512,20513,18864
Drug/Narcotic Offenses,1459460,1459460,1459472,1755788
Gambling Offenses,2121,2121,2121,3215
Pornography/Obscene Material,39871,39871,39872,32925
Prostitution Offenses,13007,13007,13007,14945
Weapon Law Violations,325998,325998,326022,353629
