Location,Total Offenses,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses
Total,3456189,3187575,18785,2691,43083,204055
Abandoned/Condemned Structure,1113,838,24,4,37,210
Air/Bus/Train Terminal,14852,13895,47,7,78,825
Amusement Park,2534,2279,1,0,18,236
Arena/Stadium/Fairgrounds/Coliseum,4095,3844,6,1,11,233
ATM Separate From Bank,216,196,1,0,7,12
Auto Dealership New/Used,2022,1955,8,0,18,41
Bank/Savings and Loan,2556,2420,13,2,75,46
Bar/Nightclub,48480,46465,303,11,148,1553
Camp/Campground,4424,3675,39,1,54,655
Church/Synagogue/Temple/Mosque,5368,4647,31,2,45,643
Commercial/Office Building,34156,32158,119,36,303,1540
Community Center,3691,3383,13,0,23,272
Construction Site,3220,3042,13,4,29,132
Convenience Store,39369,38011,252,8,465,633
Cyberspace,18188,18089,0,99,0,0
Daycare Facility,3617,3085,4,0,37,491
Department/Discount Store,23072,22148,25,7,170,722
Dock/Wharf/Freight/Modal Terminal,1122,1043,5,0,3,71
Drug Store/Doctor's Office/Hospital,55707,51786,64,17,215,3625
Farm Facility,690,606,7,0,14,63
Field/Woods,11792,9597,325,4,163,1703
Gambling Facility/Casino/Race Track ,5626,5331,15,28,66,186
Government/Public Building,22842,20751,41,36,275,1739
Grocery/Supermarket,19898,19108,67,1,158,564
Highway/Road/Alley/Street/Sidewalk,410520,390117,5900,446,5697,8360
Hotel/Motel/Etc.,69819,60337,296,528,1693,6965
Industrial Site,3041,2928,11,1,11,90
Jail/Prison/Penitentiary/Corrections Facility,41559,39606,85,3,84,1781
Lake/Waterway/Beach,2725,2284,52,3,25,361
Liquor Store,2905,2803,26,1,21,54
Military Installation,148,115,0,0,3,30
Park/Playground,33583,29762,235,25,389,3172
Parking/Drop Lot/Garage,145383,137558,1294,59,1993,4479
Rental Storage Facility,3303,3072,18,4,57,152
Residence/Home,2013539,1843564,8262,985,27485,133243
Rest Area,939,824,7,2,12,94
Restaurant,55237,52961,129,19,354,1774
School/College,14377,13105,5,7,63,1197
School–College/University,16089,14216,10,2,119,1742
School–Elementary/Secondary,132697,121988,60,45,464,10140
Service/Gas Station,30509,29356,267,9,406,471
Shelter–Mission/Homeless,6268,5904,12,8,27,317
Shopping Mall,6421,5977,21,3,50,370
Specialty Store,20371,19282,75,17,174,823
Tribal Lands,1731,1602,22,1,18,88
Other/Unknown,116375,101862,575,255,1526,12157
