Location,Total Offenses,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism,Embezzlement,Extortion/Blackmail,Fraud Offenses,Larceny/Theft Offenses,Motor Vehicle Theft,Robbery,Stolen Property Offenses
Total,7849624,30166,652,672139,147573,1497908,32481,20298,843491,3618452,721157,149862,115445
Abandoned/Condemned Structure,6365,452,0,1900,18,2153,4,3,151,1228,289,83,84
Air/Bus/Train Terminal,31792,165,3,397,226,6034,151,16,4877,16496,1486,1619,322
Amusement Park,4598,19,0,237,74,709,38,2,403,2864,175,41,36
Arena/Stadium/Fairgrounds/Coliseum,5574,21,1,443,154,1055,22,2,274,3270,248,49,35
ATM Separate From Bank,8874,7,0,177,597,667,32,4,5256,1573,43,237,281
Auto Dealership New/Used,39292,80,0,3285,964,5240,325,6,5039,12874,11003,119,357
Bank/Savings and Loan,117544,62,0,1042,33648,3868,1141,70,57980,16154,403,2431,745
Bar/Nightclub,41286,116,9,3261,960,7993,180,12,3277,22170,1997,1104,207
Camp/Campground,6966,79,0,689,24,1764,16,3,175,3573,442,84,117
Church/Synagogue/Temple/Mosque,34845,335,0,6695,429,12420,76,14,891,12210,1359,222,194
Commercial/Office Building,248972,1049,17,42104,7000,52739,3211,142,20826,102981,15003,2272,1628
Community Center,10448,58,1,1008,75,2776,37,4,460,5557,312,93,67
Construction Site,67686,212,2,11951,95,10256,133,12,623,41028,2770,223,381
Convenience Store,215926,269,5,11679,8224,16600,2987,52,23669,132763,6844,10751,2083
Cyberspace,102314,0,27,0,2617,94,328,5236,93927,0,0,0,85
Daycare Facility,3974,23,0,580,39,1134,28,1,176,1790,173,13,17
Department/Discount Store,453093,306,3,10857,6188,12636,4454,53,41624,363556,3421,7162,2833
Dock/Wharf/Freight/Modal Terminal,4197,19,0,359,14,671,140,3,113,2393,267,165,53
Drug Store/Doctor's Office/Hospital,79978,175,8,4605,2810,10882,565,48,7772,49067,2081,1553,412
Farm Facility,9495,94,0,1862,49,1758,19,3,158,4296,1125,15,116
Field/Woods,33777,1533,1,747,46,9184,23,4,532,17031,2999,723,954
Gambling Facility/Casino/Race Track ,19539,17,5,529,2140,1728,118,11,1846,10789,1452,463,441
Government/Public Building,53350,322,47,3442,3630,14617,331,167,8902,19449,1575,279,589
Grocery/Supermarket,232971,171,8,4576,5515,7868,1646,43,20799,184148,2724,4040,1433
Highway/Road/Alley/Street/Sidewalk,853500,3743,160,4911,9744,220460,516,262,31676,304322,182504,44468,50734
Hotel/Motel/Etc.,122656,347,4,7803,1143,22315,548,157,9530,62531,12743,3068,2467
Industrial Site,19292,86,0,3167,157,4084,216,10,632,9399,1334,52,155
Jail/Prison/Penitentiary/Corrections Facility,9041,140,48,93,358,5892,22,46,840,1271,95,85,151
Lake/Waterway/Beach,6708,63,1,198,23,1295,2,0,208,4452,271,89,106
Liquor Store,25060,23,1,2273,724,1939,127,4,1534,17022,377,933,103
Military Installation,359,1,0,33,3,68,2,0,37,182,26,3,4
Park/Playground,63206,993,7,1735,192,26839,23,17,1839,26070,2005,2646,840
Parking/Drop Lot/Garage,965367,2068,21,20531,2191,221287,580,112,16009,505772,166057,15745,14994
Rental Storage Facility,77104,111,1,36553,161,11994,326,11,2518,20173,4687,106,463
Residence/Home,2722460,13214,200,386489,24286,624440,4221,11331,300270,1071386,240890,26548,19185
Rest Area,1847,20,1,134,13,582,4,5,95,801,117,38,37
Restaurant,143378,352,5,21732,6116,26131,2604,80,19123,58059,4422,3818,936
School/College,10854,111,4,946,212,3256,24,40,438,5400,236,85,102
School–College/University,43266,160,4,2160,517,11464,73,550,2000,24078,1741,186,333
School–Elementary/Secondary,52169,798,2,4237,449,17326,123,183,1602,24878,1387,721,463
Service/Gas Station,136608,222,7,6344,4073,14376,1724,33,17211,72232,11057,6781,2548
Shelter–Mission/Homeless,4892,57,0,217,11,1007,17,4,253,3086,102,100,38
Shopping Mall,48036,64,2,1334,420,3181,282,14,3190,36167,1663,1050,669
Specialty Store ,255691,328,2,24080,5442,25200,2636,50,29208,154750,6764,5134,2097
Tribal Lands,2583,47,0,343,187,592,11,1,59,735,547,16,45
Other/Unknown,452691,1634,45,34401,15615,69334,2395,1477,105469,188426,23941,4449,5505
