,Estado,Población
0,Alaska,732.673
1,Alabama,5.074.296
2,Arkansas,3.045.637
3,Arizona,7.359.197
4,California,39.029.342
5,Colorado,5.839.926
6,Connecticut,3.626.205
7,Delaware,1.018.396
8,Florida,22.244.823
9,Georgia,10.912.876
10,Hawái,1.441.553
11,Iowa,3.200.517
12,Idaho,1.939.033
13,Illinois,12.582.032
14,Indiana,6.833.037
15,Kansas,2.937.150
16,Kentucky,4.512.310
17,Luisiana,4.590.241
18,Massachusetts,6.981.974
19,Maryland,6.164.660
20,Maine,1.385.340
21,Míchigan,10.034.113
22,Minnesota,5.717.184
23,Misuri,6.177.957
24,Misisipi,2.940.057
25,Montana,1.122.867
26,Carolina del Norte,10.698.973
27,Dakota del Norte,779.261
28,Nebraska,1.967.923
29,Nuevo Hampshire,1.395.231
30,Nueva Jersey,9.261.699
31,Nuevo México,2.113.344
32,Nevada,3.177.772
33,Nueva York,19.677.151
34,Ohio,11.756.058
35,Oklahoma,4.019.800
36,Oregón,4.240.137
37,Pensilvania,12.972.008
38,Rhode Island,1.093.734
39,Carolina del Sur,5.282.634
40,Dakota del Sur,909.824
41,Tennessee,7.051.339
42,Texas,30.029.572
43,Utah,3.380.800
44,Virginia,8.683.619
45,Vermont,647.064
46,Washington,7.785.786
47,Wisconsin,5.892.539
48,Virginia Occidental,1.775.156
49,Wyoming,581.381
