Offense Category,Total Victims,Male,Female,Unknown Sex
Total,9715061,4709878,4919109,86074
Crimes Against Persons,3456189,1427800,2007909,20480
Assault Offenses,3187575,1375695,1792437,19443
Homicide Offenses,18785,14441,4251,93
Human Trafficking Offenses,2691,476,2068,147
Kidnapping/Abduction,43083,9953,32996,134
Sex Offenses,204055,27235,176157,663
Crimes Against Property,6258872,3282078,2911200,65594
Arson,22853,11842,9825,1186
Bribery,515,291,211,13
Burglary/Breaking & Entering,578164,312433,261666,4065
Counterfeiting/Forgery,78480,39281,37295,1904
Destruction/Damage/Vandalism,1225891,588267,627446,10178
Embezzlement,8800,4520,4036,244
Extortion/Blackmail,20608,15929,4630,49
Fraud Offenses,753459,330816,413602,9041
Larceny/Theft Offenses,2619852,1405540,1192800,21512
Motor Vehicle Theft,676806,406994,263469,6343
Robbery,168132,108461,59082,589
Stolen Property Offenses,105312,57704,37138,10470
