,State,Death penalty status
0,Alabama,Pena con ejecución
1,Alaska,No pena
2,Arizona,Pena sin ejecución
3,Arkansas,Pena sin ejecución
4,California,Pena sin ejecución
5,Colorado,No pena
6,Connecticut,No pena
7,Delaware,Pena sin ejecución
8,District of Columbia,No pena
9,Florida,Pena sin ejecución
10,Georgia,Pena sin ejecución
11,Hawaii,No pena
12,Idaho,Pena sin ejecución
13,Illinois,No pena
14,Indiana,Pena sin ejecución
15,Iowa,No pena
16,Kansas,Pena sin ejecución
17,Kentucky,Pena sin ejecución
18,Louisiana,Pena sin ejecución
19,Maine,No pena
20,Maryland,No pena
21,Massachusetts,No pena
22,Michigan,No pena
23,Minnesota,No pena
24,Mississippi,Pena con ejecución
25,Missouri,Pena con ejecución
26,Montana,Pena sin ejecución
27,Nebraska,Pena sin ejecución
28,Nevada,Pena sin ejecución
29,New Hampshire,No pena
30,New Jersey,No pena
31,New Mexico,No pena
32,New York,Pena sin ejecución
33,North Carolina,Pena sin ejecución
34,North Dakota,No pena
35,Ohio,Pena sin ejecución
36,Oklahoma,Pena con ejecución
37,Oregon,Pena sin ejecución
38,Pennsylvania,Pena sin ejecución
39,Rhode Island,No pena
40,South Carolina,Pena sin ejecución
41,South Dakota,Pena sin ejecución
42,Tennessee,Pena sin ejecución
43,Texas,Pena con ejecución
44,Utah,Pena sin ejecución
45,Vermont,No pena
46,Virginia,No pena
47,Washington,Pena sin ejecución
48,West Virginia,No pena
49,Wisconsin,No pena
50,Wyoming,Pena sin ejecución
